"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2024","43.20","41.60","43.80","41.00","3.35M","4.60%"
"07/10/2024","41.30","42.00","44.20","41.10","3.32M","-2.36%"
"07/09/2024","42.30","43.20","45.00","42.00","3.31M","-2.08%"
"07/08/2024","43.20","39.80","43.70","38.80","3.92M","8.54%"
"07/07/2024","39.80","38.30","40.50","37.80","2.53M","6.13%"
"07/04/2024","37.50","34.00","37.50","33.60","2.66M","9.97%"
"07/03/2024","34.10","33.50","35.90","33.50","2.24M","3.33%"
"07/02/2024","33.00","30.20","33.00","30.20","1.04M","10.00%"
"06/30/2024","30.00","30.10","30.50","30.00","631.50K","-2.91%"
"06/27/2024","30.90","30.60","31.50","30.60","791.39K","0.98%"
"06/26/2024","30.60","31.30","31.30","30.40","504.83K","-0.97%"
"06/25/2024","30.90","30.70","31.50","30.20","728.50K","0.65%"
"06/24/2024","30.70","31.40","31.70","30.50","533.91K","-2.23%"
"06/23/2024","31.40","30.40","32.20","30.30","1.22M","5.37%"
"06/20/2024","29.80","29.50","30.30","29.20","470.59K","1.02%"
"06/19/2024","29.50","29.70","30.20","28.90","291.31K","-0.67%"
"06/13/2024","29.70","30.80","30.90","29.40","514.40K","-1.98%"
"06/12/2024","30.30","30.40","31.50","30.00","628.85K","1.34%"
"06/11/2024","29.90","30.00","30.80","29.70","724.96K","-2.29%"
"06/10/2024","30.60","30.80","30.90","30.60","424.29K","-2.86%"
"06/09/2024","31.50","31.70","32.70","31.50","599.04K","-2.78%"
"06/06/2024","32.40","31.00","32.60","31.00","1.27M","1.57%"
"06/05/2024","31.90","33.00","33.00","31.90","753.64K","-2.74%"
"06/04/2024","32.80","32.50","34.60","32.50","1.90M","2.50%"
"06/03/2024","32.00","29.30","32.00","28.50","1.70M","9.97%"
"06/02/2024","29.10","28.30","30.60","28.30","778.76K","2.11%"
"05/30/2024","28.50","27.80","28.80","27.80","763.15K","-0.35%"
"05/29/2024","28.60","29.60","29.60","28.60","161.87K","-2.72%"
"05/28/2024","29.40","31.00","31.70","29.40","790.62K","-2.97%"
"05/27/2024","30.30","29.30","30.90","28.80","889.54K","2.36%"
"05/26/2024","29.60","29.70","30.00","29.60","235.53K","-2.95%"
"05/23/2024","30.50","30.70","30.90","30.50","210.57K","-2.87%"
"05/21/2024","31.40","32.30","33.30","31.40","607.70K","-2.79%"
"05/20/2024","32.30","33.10","33.30","32.30","836.40K","-2.71%"
"05/19/2024","33.20","34.00","34.00","33.20","255.66K","-2.92%"
"05/16/2024","34.20","35.20","35.70","34.20","543.87K","-2.84%"
"05/15/2024","35.20","36.20","36.20","35.20","581.43K","-2.76%"
"05/14/2024","36.20","37.40","38.40","36.10","1.43M","-2.69%"
"05/13/2024","37.20","37.00","38.60","36.90","1.23M","0.81%"
"05/12/2024","36.90","37.80","38.80","36.70","1.65M","-2.38%"
"05/09/2024","37.80","38.50","38.50","37.80","1.14M","-2.83%"
"05/08/2024","38.90","39.60","40.10","38.90","1.32M","-2.99%"
"05/07/2024","40.10","41.70","42.20","40.10","2.02M","-2.91%"
"05/06/2024","41.30","40.90","42.50","40.10","1.45M","1.23%"
"05/05/2024","40.80","40.70","43.10","40.70","3.61M","-2.63%"
"05/02/2024","41.90","41.90","41.90","41.90","64.51K","-2.78%"
"04/30/2024","43.10","43.10","43.10","43.10","62.04K","-2.93%"
"04/29/2024","44.40","45.90","45.90","44.40","1.25M","-2.84%"
"04/28/2024","45.70","45.60","46.10","44.30","2.01M","0.22%"
"04/25/2024","45.60","47.00","47.10","45.60","1.71M","-2.98%"
"04/24/2024","47.00","44.50","48.00","44.20","3.41M","6.82%"
"04/23/2024","44.00","42.50","45.70","41.60","2.15M","4.02%"
"04/22/2024","42.30","42.40","43.40","41.50","821.45K","0.24%"
"04/21/2024","42.20","43.90","44.00","41.00","931.05K","-2.09%"
"04/18/2024","43.10","44.40","44.60","42.60","1.13M","-2.27%"
"04/17/2024","44.10","44.10","46.60","43.80","1.63M","1.38%"
"04/16/2024","43.50","43.30","44.30","42.10","1.19M","1.64%"
"04/15/2024","42.80","44.50","44.50","42.40","726.84K","-3.82%"
"04/09/2024","44.50","45.30","45.90","44.30","1.17M","-1.11%"
"04/08/2024","45.00","42.80","45.70","42.60","1.11M","7.14%"
"04/04/2024","42.00","43.50","43.60","41.60","781.97K","-1.87%"
"04/03/2024","42.80","43.30","44.50","42.20","1.12M","0.71%"
"04/02/2024","42.50","42.90","43.00","41.30","790.88K","0.95%"
"04/01/2024","42.10","45.70","46.10","41.50","1.09M","-7.06%"
"03/31/2024","45.30","45.50","46.90","44.50","880.36K","0.00%"
"03/28/2024","45.30","42.10","45.70","41.40","1.26M","8.63%"
"03/27/2024","41.70","46.00","46.30","40.80","1.67M","-7.95%"
"03/25/2024","45.30","46.50","46.80","45.00","1.12M","-2.16%"
"03/24/2024","46.30","50.10","50.40","46.00","1.68M","-7.03%"
"03/21/2024","49.80","50.20","52.00","49.30","1.49M","0.40%"
"03/20/2024","49.60","45.60","50.00","45.60","1.25M","9.01%"
"03/19/2024","45.50","46.00","47.00","43.50","1.23M","-1.30%"
"03/18/2024","46.10","50.50","51.70","45.40","1.97M","-8.35%"
"03/14/2024","50.30","53.00","53.70","50.00","1.54M","-4.55%"
"03/13/2024","52.70","50.10","53.30","50.00","1.71M","4.36%"
"03/12/2024","50.50","55.00","55.40","50.00","2.18M","-7.51%"
"03/11/2024","54.60","56.40","57.50","54.10","2.21M","-1.44%"
"03/10/2024","55.40","57.40","58.10","54.60","2.03M","-1.77%"
"03/07/2024","56.40","61.00","61.00","55.30","2.62M","-6.00%"
"03/06/2024","60.00","58.00","61.60","57.30","4.62M","4.90%"
"03/05/2024","57.20","56.80","59.40","56.80","2.65M","1.06%"
"03/04/2024","56.60","54.90","58.60","54.20","3.43M","3.10%"
"03/03/2024","54.90","53.80","56.50","52.90","2.13M","4.77%"
"02/29/2024","52.40","54.70","54.70","51.70","2.32M","-3.14%"
"02/28/2024","54.10","53.50","57.80","53.40","2.49M","-3.22%"
"02/27/2024","55.90","50.80","55.90","50.80","3.56M","9.82%"
"02/25/2024","50.90","53.80","55.00","50.50","2.57M","-4.86%"
"02/22/2024","53.50","52.70","55.60","51.60","2.55M","1.71%"
"02/20/2024","52.60","59.00","59.00","52.00","4.66M","-8.84%"
"02/19/2024","57.70","63.00","63.70","57.00","3.83M","-6.48%"
"02/18/2024","61.70","62.60","64.50","61.00","2.94M","-0.32%"
"02/15/2024","61.90","60.80","64.50","60.50","5.07M","2.65%"
"02/14/2024","60.30","56.50","61.90","55.60","4.60M","6.91%"
"02/13/2024","56.40","60.00","61.80","55.90","3.49M","-2.42%"
"02/12/2024","57.80","53.00","57.80","53.00","3.82M","9.89%"
"02/11/2024","52.60","54.00","55.80","51.00","3.26M","-2.59%"
"02/08/2024","54.00","58.00","60.00","52.80","5.21M","-2.88%"
"02/07/2024","55.60","52.00","55.60","51.70","2.73M","9.88%"
"02/06/2024","50.60","46.00","50.60","45.80","4.54M","10.00%"
"02/05/2024","46.00","44.20","48.50","44.20","2.71M","-1.29%"
"02/04/2024","46.60","49.20","50.70","46.10","5.07M","-4.31%"
"02/01/2024","48.70","45.90","48.90","45.60","3.90M","9.44%"
"01/31/2024","44.50","39.60","44.50","38.60","5.13M","9.88%"
"01/30/2024","40.50","39.90","42.90","38.40","3.97M","2.02%"
"01/29/2024","39.70","38.00","40.40","37.80","3.78M","5.59%"
"01/28/2024","37.60","37.70","38.80","36.40","2.98M","0.80%"
"01/25/2024","37.30","36.70","39.50","35.80","3.75M","1.63%"
"01/24/2024","36.70","34.10","37.50","33.70","4.19M","7.62%"
"01/23/2024","34.10","32.50","34.40","32.50","3.56M","5.90%"
"01/22/2024","32.20","29.30","32.20","29.30","2.02M","9.90%"
"01/21/2024","29.30","29.00","29.80","27.50","896.46K","0.00%"
"01/18/2024","29.30","29.00","29.70","28.70","1.54M","1.38%"
"01/17/2024","28.90","27.60","29.40","27.30","1.64M","4.71%"
"01/16/2024","27.60","27.10","28.30","27.10","936.80K","1.10%"
"01/15/2024","27.30","27.20","27.60","27.00","422.25K","0.74%"
"01/14/2024","27.10","28.10","28.50","27.00","822.47K","-2.87%"
"01/11/2024","27.90","28.50","28.80","27.60","584.20K","-1.41%"
"01/10/2024","28.30","28.40","28.60","28.10","524.69K","0.71%"
"01/09/2024","28.10","28.00","28.80","27.80","810.80K","0.36%"
"01/08/2024","28.00","27.60","28.50","27.30","734.15K","2.94%"
"01/04/2024","27.20","27.00","27.80","27.00","352.87K","0.74%"
"01/03/2024","27.00","26.50","27.40","26.20","544.74K","3.05%"
"01/02/2024","26.20","27.20","27.70","26.00","642.32K","-3.68%"
"01/01/2024","27.20","28.50","28.70","27.10","1.32M","-9.33%"
"12/28/2023","30.00","31.20","31.60","29.60","1.03M","-3.54%"
"12/27/2023","31.10","29.90","31.60","29.70","1.87M","4.01%"
"12/26/2023","29.90","28.10","30.20","28.10","1.01M","6.41%"
"12/24/2023","28.10","29.00","29.20","27.80","1.51M","-3.10%"
"12/21/2023","29.00","32.30","32.30","28.70","917.02K","-8.81%"
"12/20/2023","31.80","33.20","33.70","31.40","2.08M","-3.64%"
"12/18/2023","33.00","33.20","34.00","32.80","1.42M","-0.60%"
"12/17/2023","33.20","33.00","33.50","32.60","1.16M","1.53%"
"12/14/2023","32.70","33.10","34.20","32.10","1.44M","-2.10%"
"12/13/2023","33.40","34.70","35.10","33.00","1.75M","-3.75%"
"12/12/2023","34.70","34.20","35.80","34.10","2.15M","1.46%"
"12/11/2023","34.20","35.50","35.60","33.80","2.43M","-3.12%"
"12/10/2023","35.30","35.40","36.40","35.00","3.03M","0.00%"
"12/07/2023","35.30","34.80","35.90","33.60","2.94M","2.92%"
"12/06/2023","34.30","36.70","36.70","34.00","3.21M","-3.92%"
"12/05/2023","35.70","33.90","37.00","33.80","3.70M","4.39%"
"12/04/2023","34.20","35.40","36.80","33.50","5.19M","-0.58%"
"12/03/2023","34.40","31.80","34.40","29.90","2.80M","9.90%"
"11/30/2023","31.30","29.50","34.30","28.60","6.56M","10.99%"
"11/29/2023","28.20","28.50","28.60","27.50","807.75K","0.71%"
"11/28/2023","28.00","29.10","29.90","27.30","1.05M","-2.78%"
"11/27/2023","28.80","27.60","29.40","27.60","1.52M","5.11%"
"11/26/2023","27.40","25.90","27.60","25.40","923.48K","7.45%"
"11/23/2023","25.50","25.60","25.80","25.20","103.96K","0.00%"
"11/22/2023","25.50","24.80","25.80","24.80","91.51K","2.82%"
"11/21/2023","24.80","25.20","25.60","24.80","86.27K","-1.59%"
"11/20/2023","25.20","24.90","25.90","24.60","160.38K","-0.79%"
"11/19/2023","25.40","26.00","26.20","25.30","99.14K","-2.31%"
"11/16/2023","26.00","25.00","26.20","25.00","238.21K","4.00%"
"11/15/2023","25.00","25.40","25.70","24.50","301.81K","-2.72%"
"11/14/2023","25.70","26.20","26.30","24.70","131.11K","-2.65%"
